CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4088,5,Yes,nicob982,149,2012-10-29 00:00:00,Yes
1077,4,No,TraJiK,476,2011-03-07 00:00:00,Yes
2889,0,Yes,garentz,125,2012-01-08 00:00:00,Yes
199,0,Yes,JPizzle,409,2011-02-21 00:00:00,Yes
23617,,No,paralaci24,128,2019-08-06 00:00:00,Yes
23618,,No,paralaci24,128,2019-08-06 00:00:00,Yes
23619,,No,paralaci24,128,2019-08-06 00:00:00,Yes
23246,,Yes,Agamaster,769,2019-01-10 00:00:00,Yes
22456,,No,BigDom1002,737,2018-04-27 00:00:00,Yes
22457,,No,BigDom1002,720,2018-04-27 00:00:00,Yes
21999,,No,tallaito,810,2017-12-31 00:00:00,Yes
14711,,No,metalcoaster,204,2015-09-03 00:00:00,Yes
11761,,No,alice989,69,2015-01-24 00:00:00,Yes
