CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2935,5,No,weber,565,2012-01-25 00:00:00,Yes
24631,,No,DMDGC,714,2021-05-21 00:00:00,Yes
22038,,Yes,pschmitzt2,994,2018-01-07 00:00:00,Yes
21875,,No,MoBy41,949,2017-11-12 00:00:00,Yes
19641,,Yes,salomon1234,1110,2016-08-07 00:00:00,Yes
18024,,No,Casperr,387,2016-01-02 00:00:00,Yes
15110,,No,MushroomKnight,934,2015-10-21 00:00:00,Yes
12498,,No,MushroomKnight,552,2015-02-18 00:00:00,Yes
12071,,No,jefferere,1175,2015-01-28 00:00:00,Yes
10450,,No,Sisee,1075,2014-11-27 00:00:00,Yes
