CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4870,5,No,Davide7x,511,2013-04-01 00:00:00,Yes
4075,5,Yes,nicob982,136,2012-10-29 00:00:00,Yes
3417,5,Yes,TraJiK,376,2012-05-30 00:00:00,Yes
26235,,No,Sardaukar,1039,2023-02-03 00:00:00,Yes
25497,,No,Spider87,653,2022-06-28 00:00:00,Yes
23289,,No,monstermagnet7,525,2019-01-20 00:00:00,Yes
23165,,No,angel2003,190,2018-12-18 00:00:00,Yes
18972,,No,Lurker,324,2016-03-11 00:00:00,Yes
18233,,No,Casperr,300,2016-01-03 00:00:00,Yes
14539,,No,retrogamer343,490,2015-08-08 00:00:00,Yes
13746,,No,Lurker,325,2015-05-15 00:00:00,Yes
13747,,No,Lurker,308,2015-05-15 00:00:00,Yes
13748,,No,Lurker,345,2015-05-15 00:00:00,Yes
13356,,No,Lionhart0,860,2015-04-27 00:00:00,Yes
13216,,No,RianLivre2099,291,2015-04-16 00:00:00,Yes
13222,,No,GОS,885,2015-04-16 00:00:00,Yes
12780,,No,bh72,777,2015-03-07 00:00:00,Yes
11927,,No,alice989,125,2015-01-24 00:00:00,Yes
10628,,No,FdnSL,512,2014-12-05 00:00:00,Yes
