CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4182,5,0,mabik,478,2012-11-08 00:00:00,Yes
4205,4,0,mabik,480,2012-11-09 00:00:00,Yes
4121,4,0,yonshi,245,2012-10-31 00:00:00,Yes
3983,4,0,TheVitec289,285,2012-10-22 00:00:00,Yes
3967,4,0,enzoerbisti,419,2012-10-17 00:00:00,Yes
27780,,0,Nippur,250,2024-09-11 00:00:00,Yes
26018,,0,Logan1109,602,2022-12-16 00:00:00,Yes
25847,,0,Glopente,208,2022-10-29 00:00:00,Yes
25041,,0,enrikoliveira,436,2021-09-23 00:00:00,Yes
23244,,1,Agamaster,1051,2019-01-10 00:00:00,Yes
19180,,0,pesxdz,776,2016-04-22 00:00:00,Yes
19093,,0,hfs587,487,2016-04-08 00:00:00,Yes
15021,,0,stephd30,560,2015-10-08 00:00:00,Yes
11763,,0,alice989,126,2015-01-24 00:00:00,Yes
11504,,0,T3KNOSIS,511,2015-01-16 00:00:00,Yes
9437,,0,FdnSL,485,2014-10-20 00:00:00,Yes
