CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2802,5,Yes,rehder,402,2011-12-16 00:00:00,Yes
2715,2,No,garentz,203,2011-11-21 00:00:00,Yes
2807,1,No,Zeoch,233,2011-12-17 00:00:00,Yes
4497,0,No,Niko241,166,2013-01-01 00:00:00,Yes
25535,,No,RetroEmulationNation,539,2022-07-12 00:00:00,Yes
25322,,Yes,RefosLastKnight,249,2022-04-07 00:00:00,Yes
20930,,Yes,aldogno,1054,2017-03-29 00:00:00,Yes
20929,,No,aldogno,1054,2017-03-28 00:00:00,Yes
19238,,No,smokemonster,1183,2016-05-05 00:00:00,Yes
9847,,No,Sisee,1010,2014-11-08 00:00:00,Yes
9231,,No,FdnSL,584,2014-10-09 00:00:00,Yes
8796,,No,Lurker,643,2014-09-20 00:00:00,Yes
8797,,No,Lurker,500,2014-09-20 00:00:00,Yes
8798,,No,Lurker,546,2014-09-20 00:00:00,Yes
8799,,No,Lurker,427,2014-09-20 00:00:00,Yes
