CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
811,0,1,TraJiK,94,2011-02-26 00:00:00,Yes
27119,,0,GermanTron,555,2023-12-06 00:00:00,Yes
27118,,0,GermanTron,599,2023-12-06 00:00:00,Yes
26688,,0,P3D40,544,2023-08-16 00:00:00,Yes
22974,,1,iSebasArtz,332,2018-09-07 00:00:00,Yes
22186,,1,erichjs,621,2018-02-07 00:00:00,Yes
21378,,0,williamcamilovg,332,2017-08-10 00:00:00,Yes
18203,,0,Casperr,300,2016-01-03 00:00:00,Yes
14536,,0,retrogamer343,633,2015-08-08 00:00:00,Yes
14052,,0,s3RG3y06,751,2015-06-06 00:00:00,Yes
13897,,0,RianLivre2099,234,2015-05-24 00:00:00,Yes
13714,,0,Lurker,267,2015-05-15 00:00:00,Yes
13336,,0,s3RG3y06,683,2015-04-25 00:00:00,Yes
13144,,0,s3RG3y06,793,2015-04-12 00:00:00,Yes
12167,,0,szymonk19,636,2015-02-01 00:00:00,Yes
9421,,0,FdnSL,373,2014-10-19 00:00:00,Yes
9198,,0,FdnSL,372,2014-10-06 00:00:00,Yes
9139,,0,Rebellion,421,2014-10-05 00:00:00,Yes
7399,,0,Lurker,308,2014-07-30 00:00:00,Yes
