CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4187,5,0,mabik,580,2012-11-08 00:00:00,Yes
2949,4,1,Kissjozsef,327,2012-02-02 00:00:00,Yes
28190,,0,SupershalloBoy,1094,2024-12-29 00:00:00,Yes
26646,,0,fertinga2,1446,2023-08-01 00:00:00,Yes
18959,,0,Lurker,637,2016-03-11 00:00:00,Yes
15185,,0,RGSPro,323,2015-10-26 00:00:00,Yes
14150,,0,Alex17rus,1297,2015-06-18 00:00:00,Yes
13882,,0,RianLivre2099,323,2015-05-23 00:00:00,Yes
8518,,0,Lurker,505,2014-09-18 00:00:00,Yes
8519,,0,Lurker,484,2014-09-18 00:00:00,Yes
8520,,0,Lurker,612,2014-09-18 00:00:00,Yes
