CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
25889,,0,Logan1109,611,2022-11-01 00:00:00,Yes
22588,,1,Jake_westn,632,2018-05-25 00:00:00,Yes
22361,,1,x-zero,1181,2018-03-16 00:00:00,Yes
22092,,0,Ragein,1081,2018-01-19 00:00:00,Yes
22091,,1,Ragein,282,2018-01-18 00:00:00,Yes
21199,,0,Luy09,727,2017-06-07 00:00:00,Yes
21023,,0,ItzNeonGamerXbox,1583,2017-05-01 00:00:00,Yes
20917,,0,Lalo540,541,2017-03-17 00:00:00,Yes
20916,,0,Lalo540,1270,2017-03-17 00:00:00,Yes
20520,,0,UrielCruz9876,702,2016-12-12 00:00:00,Yes
20487,,1,mantisjr2017,262,2016-12-11 00:00:00,Yes
20388,,0,PepitoGamer,947,2016-11-24 00:00:00,Yes
20182,,0,gus077,660,2016-10-26 00:00:00,Yes
20135,,0,DeckMixter,1270,2016-10-16 00:00:00,Yes
20118,,0,ks303,1066,2016-10-15 00:00:00,Yes
20114,,0,Lucky NewMan,171,2016-10-14 00:00:00,Yes
20106,,0,Liedmann,892,2016-10-14 00:00:00,Yes
20008,,0,nachones,1046,2016-10-12 00:00:00,Yes
20007,,0,Goku Sayan,303,2016-10-12 00:00:00,Yes
19994,,0,antidoto001,717,2016-10-11 00:00:00,Yes
