CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4057,5,Yes,nicob982,137,2012-10-29 00:00:00,Yes
5552,0,Yes,alex1501,546,2013-08-22 00:00:00,Yes
159,0,Yes,TraJiK,545,2011-02-20 00:00:00,Yes
26909,,No,GermanTron,854,2023-12-04 00:00:00,Yes
25725,,No,Logan1109,565,2022-09-15 00:00:00,Yes
25513,,No,Sisee,755,2022-07-05 00:00:00,Yes
24669,,Yes,MushroomKnight,548,2021-05-29 00:00:00,Yes
24083,,No,cofla1992,989,2020-07-31 00:00:00,Yes
21357,,No,tallaito,269,2017-08-04 00:00:00,Yes
13797,,No,RianLivre2099,202,2015-05-17 00:00:00,Yes
11715,,No,alice989,153,2015-01-24 00:00:00,Yes
10271,,No,amer4747,1236,2014-11-18 00:00:00,Yes
9720,,No,QuattroGam3r,173,2014-11-06 00:00:00,Yes
9527,,No,Lurker,315,2014-10-26 00:00:00,Yes
8709,,No,Lurker,197,2014-09-20 00:00:00,Yes
8710,,No,Lurker,203,2014-09-20 00:00:00,Yes
8717,,No,Lurker,612,2014-09-20 00:00:00,Yes
8716,,No,Lurker,173,2014-09-20 00:00:00,Yes
8715,,No,Lurker,190,2014-09-20 00:00:00,Yes
8714,,No,Lurker,553,2014-09-20 00:00:00,Yes
8713,,No,Lurker,410,2014-09-20 00:00:00,Yes
8712,,No,Lurker,214,2014-09-20 00:00:00,Yes
8711,,No,Lurker,193,2014-09-20 00:00:00,Yes
