CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6208,5,No,Xque4ever,297,2013-12-25 00:00:00,Yes
2064,3,No,Chupitofrances,533,2011-06-18 00:00:00,Yes
1075,3,No,TraJiK,544,2011-03-07 00:00:00,Yes
1304,0,No,TraJiK,534,2011-03-16 00:00:00,Yes
1052,0,No,TraJiK,605,2011-03-07 00:00:00,Yes
1055,0,No,TraJiK,554,2011-03-07 00:00:00,Yes
345,0,Yes,TraJiK,604,2011-02-21 00:00:00,Yes
25314,,No,IsaacFX,594,2022-04-06 00:00:00,Yes
25307,,No,lucasblz,1092,2022-03-27 00:00:00,Yes
24990,,No,AlDaHiR635 ,760,2021-08-15 00:00:00,Yes
24883,,No,Zaikrot,975,2021-06-19 00:00:00,Yes
21239,,No,kevinkiller527,1034,2017-06-14 00:00:00,Yes
18861,,Yes,Joseadilson,1572,2016-02-12 00:00:00,Yes
15487,,No,Destructo99,1165,2015-11-08 00:00:00,Yes
15488,,No,Destructo99,1034,2015-11-08 00:00:00,Yes
15236,,Yes,Patrick1287,289,2015-10-29 00:00:00,Yes
15105,,No,MushroomKnight,910,2015-10-20 00:00:00,Yes
13498,,No,Lionhart0,921,2015-05-04 00:00:00,Yes
13453,,No,RianLivre2099,284,2015-05-01 00:00:00,Yes
12410,,No,MushroomKnight,465,2015-02-12 00:00:00,Yes
9322,,Yes,Feudjey,1112,2014-10-14 00:00:00,Yes
9293,,Yes,RANGER X,313,2014-10-12 00:00:00,Yes
7763,,Yes,Ignaxio Herrera,333,2014-08-24 00:00:00,Yes
7683,,No,Milspex,638,2014-08-22 00:00:00,Yes
7682,,No,Milspex,1018,2014-08-22 00:00:00,Yes
