CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
3525,0,Yes,TraJiK,437,2012-06-20 00:00:00,Yes
27025,,No,GermanTron,894,2023-12-05 00:00:00,Yes
22627,,No,linewalker90,319,2018-06-13 00:00:00,Yes
21238,,No,kulurak,285,2017-06-13 00:00:00,Yes
17655,,No,Casperr,355,2016-01-01 00:00:00,Yes
14350,,Yes,Camilleons,223,2015-07-17 00:00:00,Yes
12219,,No,Lurker,504,2015-02-03 00:00:00,Yes
12220,,No,Lurker,575,2015-02-03 00:00:00,Yes
12221,,No,Lurker,603,2015-02-03 00:00:00,Yes
12222,,No,Lurker,582,2015-02-03 00:00:00,Yes
12223,,No,Lurker,561,2015-02-03 00:00:00,Yes
7191,,No,Lurker,283,2014-07-19 00:00:00,Yes
