CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
1262,5,No,kennedy1992,595,2011-03-15 00:00:00,Yes
349,5,Yes,JPizzle,568,2011-02-21 00:00:00,Yes
6517,2,No,jason7b7,573,2014-03-24 00:00:00,Yes
6090,2,No,ZEAtol,252,2013-11-23 00:00:00,Yes
25878,,No,Logan1109,545,2022-11-01 00:00:00,Yes
25519,,No,Sisee,947,2022-07-05 00:00:00,Yes
24909,,No,Zaikrot,914,2021-06-25 00:00:00,Yes
24698,,Yes,MushroomKnight,643,2021-05-29 00:00:00,Yes
23865,,No,BroBas00,1083,2020-02-15 00:00:00,Yes
21139,,No,x-zero,1421,2017-05-09 00:00:00,Yes
11811,,No,alice989,149,2015-01-24 00:00:00,Yes
11392,,No,QuattroGam3r,214,2015-01-11 00:00:00,Yes
10755,,No,[kor]-zard-,1028,2014-12-14 00:00:00,Yes
9996,,No,gorrolana73,279,2014-11-12 00:00:00,Yes
8887,,No,Lurker,448,2014-09-23 00:00:00,Yes
8888,,No,Lurker,508,2014-09-23 00:00:00,Yes
8886,,No,Lurker,406,2014-09-23 00:00:00,Yes
