CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5777,0,Yes,Footballer74123,258,2013-09-29 00:00:00,Yes
5404,0,Yes,JCMANDARK,416,2013-07-03 00:00:00,Yes
25454,,No,LanceLVRF,1099,2022-06-07 00:00:00,Yes
25382,,Yes,Logan1109,519,2022-05-05 00:00:00,Yes
24725,,No,Ruslan-dx55,653,2021-06-06 00:00:00,Yes
23868,,No,BroBas00,1024,2020-02-15 00:00:00,Yes
23236,,No,Agamaster,938,2019-01-10 00:00:00,Yes
23110,,No,Elian2,818,2018-11-03 00:00:00,Yes
22396,,No,wilfredlink432,381,2018-03-25 00:00:00,Yes
21844,,No,lumapaz,154,2017-11-10 00:00:00,Yes
19813,,No,smokemonster,500,2016-09-22 00:00:00,Yes
18973,,No,Lurker,316,2016-03-11 00:00:00,Yes
18659,,Yes,Joseadilson,93,2016-02-06 00:00:00,Yes
13056,,No,s3RG3y97531,956,2015-04-04 00:00:00,Yes
11285,,No,sirlindqvist,877,2015-01-06 00:00:00,Yes
9477,,No,bmendes519,784,2014-10-24 00:00:00,Yes
