CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4073,5,Yes,nicob982,148,2012-10-29 00:00:00,Yes
900,4,Yes,TraJiK,101,2011-02-27 00:00:00,Yes
25494,,Yes,Spider87,502,2022-06-28 00:00:00,Yes
24435,,No,SupershalloBoy,495,2021-02-07 00:00:00,Yes
23584,,Yes,MushroomKnight,516,2019-07-31 00:00:00,Yes
17905,,No,Casperr,335,2016-01-02 00:00:00,Yes
14378,,Yes,Camilleons,171,2015-07-17 00:00:00,Yes
14110,,No,s3RG3y06,1013,2015-06-15 00:00:00,Yes
13337,,No,s3RG3y06,1120,2015-04-25 00:00:00,Yes
11902,,No,alice989,61,2015-01-24 00:00:00,Yes
9405,,No,FdnSL,417,2014-10-19 00:00:00,Yes
9197,,No,FdnSL,414,2014-10-06 00:00:00,Yes
