CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
374,5,Yes,TraJiK,589,2011-02-21 00:00:00,Yes
24155,,No,matt9,861,2020-08-26 00:00:00,Yes
22544,,No,HatefulGrinder,1247,2018-05-19 00:00:00,Yes
15358,,No,funkuzo,585,2015-11-04 00:00:00,Yes
14800,,No,SraBigBoss,1396,2015-09-11 00:00:00,Yes
14804,,No,GSV,931,2015-09-11 00:00:00,Yes
14813,,No,RianLivre2099,240,2015-09-11 00:00:00,Yes
13454,,No,RianLivre2099,318,2015-05-01 00:00:00,Yes
9564,,No,pesxdz,1035,2014-10-29 00:00:00,Yes
8849,,No,Lurker,562,2014-09-21 00:00:00,Yes
8556,,No,Lurker,537,2014-09-19 00:00:00,Yes
8557,,No,Lurker,548,2014-09-19 00:00:00,Yes
8558,,No,Lurker,655,2014-09-19 00:00:00,Yes
