CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4208,5,0,mabik,226,2012-11-09 00:00:00,Yes
3333,0,1,edwardprince,483,2012-05-23 00:00:00,Yes
2712,0,0,dx666,653,2011-11-20 00:00:00,Yes
26755,,0,Angel Momos 64,1089,2023-09-18 00:00:00,Yes
26444,,0,omarm,665,2023-05-14 00:00:00,Yes
25000,,0,AlDaHiR635 ,665,2021-08-15 00:00:00,Yes
23587,,1,MushroomKnight,724,2019-07-31 00:00:00,Yes
23452,,0,Bradware,226,2019-05-13 00:00:00,Yes
23453,,0,Bradware,226,2019-05-13 00:00:00,Yes
19240,,0,smokemonster,1328,2016-05-05 00:00:00,Yes
18850,,1,Joseadilson,1562,2016-02-11 00:00:00,Yes
18851,,1,Joseadilson,226,2016-02-11 00:00:00,Yes
14057,,0,RianLivre2099,339,2015-06-07 00:00:00,Yes
12030,,0,eldani64,522,2015-01-26 00:00:00,Yes
11554,,0,mostwantedzetaRK,1225,2015-01-17 00:00:00,Yes
9828,,0,Sisee,1118,2014-11-08 00:00:00,Yes
8846,,0,Lurker,632,2014-09-21 00:00:00,Yes
8576,,0,Lurker,605,2014-09-19 00:00:00,Yes
8575,,0,Lurker,202,2014-09-19 00:00:00,Yes
