CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
28258,,0,Grd4120,914,2025-02-08 00:00:00,Yes
28215,,0,NizarModz,744,2025-01-30 00:00:00,Yes
28192,,0,Gomez_0108,342,2025-01-03 00:00:00,Yes
28193,,0,Gomez_0108,336,2025-01-03 00:00:00,Yes
28194,,0,Gomez_0108,287,2025-01-03 00:00:00,Yes
28195,,0,Gomez_0108,281,2025-01-03 00:00:00,Yes
28181,,0,CH 360,919,2024-12-24 00:00:00,Yes
27970,,0,LOLAZO10,216,2024-11-09 00:00:00,Yes
27891,,0,LaMelo,656,2024-10-20 00:00:00,Yes
27892,,0,LaMelo,757,2024-10-20 00:00:00,Yes
27872,,0,LaMelo,687,2024-10-12 00:00:00,Yes
27875,,0,hirlangillum,111,2024-10-12 00:00:00,Yes
27876,,0,hirlangillum,133,2024-10-12 00:00:00,Yes
27804,,1,shevaxbox,1317,2024-10-01 00:00:00,Yes
27798,,1,oliveira372,618,2024-09-16 00:00:00,Yes
27648,,0,oliveira372,895,2024-08-11 00:00:00,Yes
27645,,1,oliveira372,895,2024-08-10 00:00:00,Yes
27646,,1,oliveira372,907,2024-08-10 00:00:00,Yes
27508,,0,CH 360,875,2024-05-02 00:00:00,Yes
27509,,0,CH 360,976,2024-05-02 00:00:00,Yes
27510,,0,CH 360,881,2024-05-02 00:00:00,Yes
27488,,0,lordofcombo86,434,2024-04-20 00:00:00,Yes
27138,,0,THURNEX,852,2023-12-10 00:00:00,Yes
26774,,1,ismail_atare,1232,2023-10-09 00:00:00,Yes
26764,,0,Grd4120,206,2023-09-25 00:00:00,Yes
26708,,0,Micas,880,2023-08-30 00:00:00,Yes
26709,,0,Micas,866,2023-08-30 00:00:00,Yes
26710,,0,Micas,391,2023-08-30 00:00:00,Yes
26711,,0,Micas,378,2023-08-30 00:00:00,Yes
26695,,1,Micas,780,2023-08-20 00:00:00,Yes
26694,,0,Micas,820,2023-08-20 00:00:00,Yes
26649,,0,CH 360,233,2023-08-07 00:00:00,Yes
26650,,0,CH 360,240,2023-08-07 00:00:00,Yes
26586,,0,jvitorsantos,420,2023-07-12 00:00:00,Yes
26577,,0,Leandro852,513,2023-07-09 00:00:00,Yes
26557,,0,Isake,808,2023-06-23 00:00:00,Yes
26558,,0,Isake,839,2023-06-23 00:00:00,Yes
26559,,0,Isake,745,2023-06-23 00:00:00,Yes
26492,,0,Isake,839,2023-05-30 00:00:00,Yes
26493,,0,Isake,745,2023-05-30 00:00:00,Yes
26494,,0,Isake,848,2023-05-30 00:00:00,Yes
26495,,0,Isake,902,2023-05-30 00:00:00,Yes
26496,,0,Isake,808,2023-05-30 00:00:00,Yes
26488,,1,Franko_maiden,277,2023-05-25 00:00:00,Yes
26397,,0,CH 360,992,2023-04-26 00:00:00,Yes
26398,,0,CH 360,474,2023-04-26 00:00:00,Yes
26356,,0,CH 360,839,2023-04-11 00:00:00,Yes
26357,,0,CH 360,742,2023-04-11 00:00:00,Yes
26358,,0,CH 360,705,2023-04-11 00:00:00,Yes
26359,,0,CH 360,645,2023-04-11 00:00:00,Yes
