CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4371,4,Yes,Speed_ZGZ,578,2012-12-03 00:00:00,Yes
1034,0,No,TraJiK,620,2011-03-07 00:00:00,Yes
52,0,Yes,JQE,607,2011-02-17 00:00:00,Yes
27910,,Yes,IChoseRapture95,606,2024-10-20 00:00:00,Yes
27674,,No,PurplePrincess,988,2024-08-26 00:00:00,Yes
23809,,No,matt9,872,2020-01-28 00:00:00,Yes
23752,,No,matt9,805,2019-12-22 00:00:00,Yes
23196,,Yes,Sumaksanyi,1370,2018-12-22 00:00:00,Yes
20197,,No,FlexySpeed,1127,2016-10-28 00:00:00,Yes
20160,,No,Pablo_Web,608,2016-10-19 00:00:00,Yes
13776,,No,dewomper,1093,2015-05-16 00:00:00,Yes
9791,,No,Sisee,1111,2014-11-08 00:00:00,Yes
8242,,No,Lurker,538,2014-09-12 00:00:00,Yes
