CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5731,0,Yes,irishdave,237,2013-09-19 00:00:00,Yes
1485,0,Yes,strusic,457,2011-03-22 00:00:00,Yes
26486,,No,RefosLastKnight,229,2023-05-23 00:00:00,Yes
26339,,Yes,Kaltenbruner,896,2023-03-27 00:00:00,Yes
22350,,No,tallaito,159,2018-02-26 00:00:00,Yes
12105,,No,Lurker,248,2015-01-28 00:00:00,Yes
12106,,No,Lurker,286,2015-01-28 00:00:00,Yes
12107,,No,Lurker,321,2015-01-28 00:00:00,Yes
12108,,No,Lurker,329,2015-01-28 00:00:00,Yes
12109,,No,Lurker,318,2015-01-28 00:00:00,Yes
12110,,No,Lurker,322,2015-01-28 00:00:00,Yes
12111,,No,Lurker,326,2015-01-28 00:00:00,Yes
9458,,No,Lurker,417,2014-10-23 00:00:00,Yes
7066,,No,Lurker,385,2014-07-14 00:00:00,Yes
