CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5311,5,Yes,mynameisRAIN,577,2013-06-15 00:00:00,Yes
3579,5,No,garentz,213,2012-06-28 00:00:00,Yes
3209,5,No,pitbullmern,630,2012-05-12 00:00:00,Yes
3208,4,No,Maikel93,574,2012-05-11 00:00:00,Yes
3612,3,No,lucasedgard,743,2012-07-22 00:00:00,Yes
6075,2,Yes,alex1501,443,2013-11-21 00:00:00,Yes
4378,2,No,Speed_ZGZ,598,2012-12-03 00:00:00,Yes
6076,1,Yes,alex1501,139,2013-11-21 00:00:00,Yes
6214,0,No,JMCDS45,437,2013-12-29 00:00:00,Yes
27930,,Yes,IChoseRapture95,508,2024-10-20 00:00:00,Yes
25521,,No,Sisee,934,2022-07-05 00:00:00,Yes
13883,,No,RianLivre2099,293,2015-05-23 00:00:00,Yes
11813,,No,alice989,135,2015-01-24 00:00:00,Yes
10290,,No,amer4747,1214,2014-11-18 00:00:00,Yes
9183,,No,FdnSL,488,2014-10-06 00:00:00,Yes
