CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4695,5,0,enzoerbisti,882,2013-02-19 00:00:00,Yes
4669,5,0,romildo,514,2013-02-15 00:00:00,Yes
4679,3,0,orenyellow,462,2013-02-16 00:00:00,Yes
4680,3,0,orenyellow,414,2013-02-16 00:00:00,Yes
6468,0,0,arlyboi,164,2014-03-13 00:00:00,Yes
5309,0,1,mynameisRAIN,542,2013-06-15 00:00:00,Yes
4668,0,0,DeniSKAAA,291,2013-02-15 00:00:00,Yes
23179,,0,angel2003,399,2018-12-18 00:00:00,Yes
22923,,0,whenamancries,958,2018-08-08 00:00:00,Yes
19395,,0,Ureeb,1229,2016-06-28 00:00:00,Yes
19260,,0,Roberto3,303,2016-05-06 00:00:00,Yes
14544,,0,Roberto3,303,2015-08-10 00:00:00,Yes
11993,,0,alice989,102,2015-01-25 00:00:00,Yes
8876,,0,Lurker,643,2014-09-23 00:00:00,Yes
8877,,0,Lurker,539,2014-09-23 00:00:00,Yes
8878,,0,Lurker,594,2014-09-23 00:00:00,Yes
8875,,0,Lurker,448,2014-09-23 00:00:00,Yes
