CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
24750,,0,Zaikrot,825,2021-06-13 00:00:00,Yes
22264,,0,linewalker90,266,2018-02-19 00:00:00,Yes
22288,,0,Destructo99,652,2018-02-19 00:00:00,Yes
22289,,0,Destructo99,399,2018-02-19 00:00:00,Yes
22290,,0,Destructo99,903,2018-02-19 00:00:00,Yes
13661,,0,Schaizerkill,269,2015-05-13 00:00:00,Yes
11204,,0,QuattroGam3r,176,2015-01-04 00:00:00,Yes
8861,,0,BATUTA2210,1120,2014-09-22 00:00:00,Yes
8636,,0,Lurker,408,2014-09-19 00:00:00,Yes
8637,,0,Lurker,516,2014-09-19 00:00:00,Yes
8638,,0,Lurker,594,2014-09-19 00:00:00,Yes
6919,,0,ZEAtol,193,2014-07-04 00:00:00,Yes
