CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4072,5,1,nicob982,184,2012-10-29 00:00:00,Yes
3832,3,0,Aut0botKilla,1009,2012-09-25 00:00:00,Yes
3824,3,0,mustafa,389,2012-09-24 00:00:00,Yes
27048,,0,GermanTron,941,2023-12-06 00:00:00,Yes
26468,,1,KyleJCrb,522,2023-05-23 00:00:00,Yes
24671,,1,MushroomKnight,583,2021-05-29 00:00:00,Yes
22040,,1,pschmitzt2,1065,2018-01-07 00:00:00,Yes
21865,,0,MoBy41,1028,2017-11-12 00:00:00,Yes
20572,,0,seymorebutts,687,2016-12-22 00:00:00,Yes
17750,,0,Casperr,319,2016-01-01 00:00:00,Yes
12392,,0,Lurker,176,2015-02-12 00:00:00,Yes
12393,,0,Lurker,114,2015-02-12 00:00:00,Yes
12394,,0,Lurker,139,2015-02-12 00:00:00,Yes
12409,,0,MushroomKnight,429,2015-02-12 00:00:00,Yes
12137,,0,szymonk19,2113,2015-01-29 00:00:00,Yes
11891,,0,alice989,198,2015-01-24 00:00:00,Yes
10640,,0,Lurker,144,2014-12-06 00:00:00,Yes
10641,,0,Lurker,168,2014-12-06 00:00:00,Yes
10170,,0,Sisee,850,2014-11-16 00:00:00,Yes
9397,,0,FdnSL,498,2014-10-19 00:00:00,Yes
9158,,0,FdnSL,498,2014-10-06 00:00:00,Yes
7289,,0,Lurker,276,2014-07-25 00:00:00,Yes
