CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2368,0,1,TraJiK,352,2011-08-06 00:00:00,Yes
23585,,1,MushroomKnight,441,2019-07-31 00:00:00,Yes
19782,,0,kepaic,280,2016-09-20 00:00:00,Yes
17907,,0,Casperr,306,2016-01-02 00:00:00,Yes
12474,,0,Lurker,370,2015-02-15 00:00:00,Yes
12475,,0,Lurker,431,2015-02-15 00:00:00,Yes
12476,,0,Lurker,501,2015-02-15 00:00:00,Yes
10650,,0,Lurker,160,2014-12-06 00:00:00,Yes
10651,,0,Lurker,149,2014-12-06 00:00:00,Yes
7368,,0,Lurker,283,2014-07-30 00:00:00,Yes
