CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
3054,5,Yes,biorage,550,2012-03-25 00:00:00,Yes
3064,5,Yes,DarkStricker,283,2012-03-25 00:00:00,Yes
3048,5,No,algaf,369,2012-03-24 00:00:00,Yes
4736,3,No,Dinozzo,454,2013-02-28 00:00:00,Yes
27767,,No,Nippur,207,2024-09-10 00:00:00,Yes
24850,,No,Zaikrot,940,2021-06-13 00:00:00,Yes
13644,,No,dewomper,918,2015-05-12 00:00:00,Yes
10835,,No,mostwantedzetaRK,1061,2014-12-17 00:00:00,Yes
8655,,No,Lurker,488,2014-09-19 00:00:00,Yes
8656,,No,Lurker,525,2014-09-19 00:00:00,Yes
8657,,No,Lurker,544,2014-09-19 00:00:00,Yes
8658,,No,Lurker,612,2014-09-19 00:00:00,Yes
