CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
1083,0,0,TraJiK,572,2011-03-07 00:00:00,Yes
991,0,0,TraJiK,607,2011-03-06 00:00:00,Yes
997,0,0,TraJiK,609,2011-03-06 00:00:00,Yes
297,0,1,JPizzle,579,2011-02-21 00:00:00,Yes
25799,,0,Logan1109,569,2022-09-15 00:00:00,Yes
25440,,0,Zaikrot,818,2022-05-30 00:00:00,Yes
23822,,0,matt9,887,2020-01-28 00:00:00,Yes
11241,,0,QuattroGam3r,275,2015-01-04 00:00:00,Yes
8806,,0,Lurker,284,2014-09-20 00:00:00,Yes
8807,,0,Lurker,450,2014-09-20 00:00:00,Yes
8808,,0,Lurker,160,2014-09-20 00:00:00,Yes
