CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4093,5,1,nicob982,146,2012-10-29 00:00:00,Yes
3455,4,1,Dentrid,511,2012-06-01 00:00:00,Yes
2703,4,1,garentz,179,2011-11-14 00:00:00,Yes
4442,2,0,bennyborn,694,2012-12-15 00:00:00,Yes
26337,,0,RefosLastKnight,261,2023-03-26 00:00:00,Yes
25903,,0,Logan1109,440,2022-11-02 00:00:00,Yes
25782,,0,Logan1109,462,2022-09-15 00:00:00,Yes
24690,,1,MushroomKnight,456,2021-05-29 00:00:00,Yes
22378,,1,juancarloslocasso,149,2018-03-16 00:00:00,Yes
21371,,0,juancarloslocasso,444,2017-08-05 00:00:00,Yes
20138,,0,smokemonster,1199,2016-10-17 00:00:00,Yes
20139,,0,smokemonster,1213,2016-10-17 00:00:00,Yes
20140,,0,smokemonster,1276,2016-10-17 00:00:00,Yes
20141,,0,smokemonster,1174,2016-10-17 00:00:00,Yes
13057,,0,s3RG3y97531,783,2015-04-04 00:00:00,Yes
12293,,0,QuattroGam3r,170,2015-02-07 00:00:00,Yes
11775,,0,alice989,124,2015-01-24 00:00:00,Yes
9653,,0,Sisee,775,2014-11-05 00:00:00,Yes
9512,,0,kulurak,775,2014-10-26 00:00:00,Yes
8539,,0,Lurker,521,2014-09-18 00:00:00,Yes
8538,,0,Lurker,522,2014-09-18 00:00:00,Yes
