CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5527,5,0,JPizzle,553,2013-08-17 00:00:00,Yes
5526,3,0,JPizzle,515,2013-08-17 00:00:00,Yes
24105,,1,IronKiller,540,2020-08-01 00:00:00,Yes
23285,,1,Agamaster,1097,2019-01-11 00:00:00,Yes
15042,,0,lordstoneheart7,1074,2015-10-13 00:00:00,Yes
13301,,0,pesxdz,964,2015-04-21 00:00:00,Yes
11849,,0,alice989,160,2015-01-24 00:00:00,Yes
8979,,0,Lurker,507,2014-09-25 00:00:00,Yes
8980,,0,Lurker,486,2014-09-25 00:00:00,Yes
8981,,0,Lurker,136,2014-09-25 00:00:00,Yes
8982,,0,Lurker,523,2014-09-25 00:00:00,Yes
7776,,1,Ghost633,629,2014-08-27 00:00:00,Yes
