CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2940,3,0,dommax,589,2012-01-27 00:00:00,Yes
25567,,0,RefosLastKnight,302,2022-08-16 00:00:00,Yes
23921,,1,ROCKSDERRX360,503,2020-04-20 00:00:00,Yes
23657,,1,Remmigiosh,1071,2019-09-13 00:00:00,Yes
19342,,0,cashtut,1122,2016-06-08 00:00:00,Yes
19345,,0,cashtut,195,2016-06-08 00:00:00,Yes
13956,,0,RianLivre2099,296,2015-05-28 00:00:00,Yes
12305,,0,RianLivre2099,279,2015-02-08 00:00:00,Yes
11491,,0,QuattroGam3r,870,2015-01-15 00:00:00,Yes
8468,,0,Lurker,192,2014-09-16 00:00:00,Yes
8469,,0,Lurker,184,2014-09-16 00:00:00,Yes
8470,,0,Lurker,256,2014-09-16 00:00:00,Yes
8471,,0,Lurker,235,2014-09-16 00:00:00,Yes
8472,,0,Lurker,197,2014-09-16 00:00:00,Yes
