CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4496,5,0,Niko241,173,2013-01-01 00:00:00,Yes
3850,0,0,xyz,471,2012-09-27 00:00:00,Yes
26872,,0,GermanTron,541,2023-12-04 00:00:00,Yes
22522,,1,Apples n Onions,1509,2018-05-16 00:00:00,Yes
22208,,0,xboxgopaulinho,173,2018-02-15 00:00:00,Yes
20459,,1,Marketplace,312,2016-12-09 00:00:00,Yes
18717,,1,Joseadilson,173,2016-02-07 00:00:00,Yes
18363,,0,Casperr,419,2016-01-07 00:00:00,Yes
15218,,0,sirlindqvist,682,2015-10-28 00:00:00,Yes
14683,,0,mostwantedzetaRK,1088,2015-09-01 00:00:00,Yes
14162,,1,arztsohn88,173,2015-06-21 00:00:00,Yes
11618,,0,Lurker,200,2015-01-23 00:00:00,Yes
11663,,0,alice989,56,2015-01-23 00:00:00,Yes
7841,,0,Lurker,463,2014-08-30 00:00:00,Yes
7842,,0,Lurker,709,2014-08-30 00:00:00,Yes
7783,,0,Lurker,288,2014-08-29 00:00:00,Yes
7767,,1,Ignaxio Herrera,298,2014-08-24 00:00:00,Yes
