CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5328,5,Yes,Niko241,274,2013-06-22 00:00:00,Yes
3207,5,No,tdilts,411,2012-05-11 00:00:00,Yes
3420,3,Yes,TraJiK,486,2012-05-30 00:00:00,Yes
22876,,No,tallaito,198,2018-07-20 00:00:00,Yes
22238,,No,linewalker90,1134,2018-02-19 00:00:00,Yes
18254,,No,Casperr,361,2016-01-03 00:00:00,Yes
12806,,No,bh72,871,2015-03-09 00:00:00,Yes
10113,,No,Goderk,586,2014-11-14 00:00:00,Yes
9423,,No,FdnSL,511,2014-10-19 00:00:00,Yes
9187,,No,FdnSL,511,2014-10-06 00:00:00,Yes
9142,,No,Rebellion,518,2014-10-05 00:00:00,Yes
9075,,No,grochu112,1096,2014-10-03 00:00:00,Yes
