CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5081,5,Yes,Davide7x,568,2013-05-13 00:00:00,Yes
786,4,Yes,TraJiK,121,2011-02-26 00:00:00,Yes
27096,,No,GermanTron,980,2023-12-06 00:00:00,Yes
25857,,Yes,Logan1109,547,2022-11-01 00:00:00,Yes
25347,,No,RefosLastKnight,293,2022-04-18 00:00:00,Yes
25075,,No,mmfa450,693,2021-11-11 00:00:00,Yes
24880,,No,Geroneigbort,996,2021-06-16 00:00:00,Yes
23966,,No,Juancho3200,1027,2020-06-09 00:00:00,Yes
23600,,Yes,MushroomKnight,693,2019-07-31 00:00:00,Yes
23503,,No,MushroomKnight,693,2019-06-14 00:00:00,Yes
23464,,Yes,Jason1223,276,2019-05-25 00:00:00,Yes
19481,,Yes,Joseadilson,209,2016-07-23 00:00:00,Yes
18057,,No,Casperr,366,2016-01-02 00:00:00,Yes
14530,,No,retrogamer343,568,2015-08-08 00:00:00,Yes
14318,,Yes,j4g01812,363,2015-07-12 00:00:00,Yes
13829,,No,Lurker,320,2015-05-18 00:00:00,Yes
13830,,No,Lurker,356,2015-05-18 00:00:00,Yes
13332,,No,RianLivre2099,299,2015-04-25 00:00:00,Yes
13145,,No,s3RG3y06,1141,2015-04-12 00:00:00,Yes
12619,,No,mostwantedzetaRK,1044,2015-02-27 00:00:00,Yes
11049,,No,mostwantedzetaRK,1051,2014-12-28 00:00:00,Yes
10646,,No,Lurker,215,2014-12-06 00:00:00,Yes
10077,,No,MushroomKnight,397,2014-11-14 00:00:00,Yes
9428,,No,FdnSL,540,2014-10-19 00:00:00,Yes
9136,,No,Rebellion,429,2014-10-05 00:00:00,Yes
7395,,No,Lurker,354,2014-07-30 00:00:00,Yes
