CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2326,1,1,TraJiK,424,2011-07-23 00:00:00,Yes
27029,,0,GermanTron,890,2023-12-05 00:00:00,Yes
25498,,0,RefosLastKnight,296,2022-06-29 00:00:00,Yes
25290,,0,Ruslan-dx55,734,2022-03-22 00:00:00,Yes
23521,,0,Emu9x,742,2019-07-02 00:00:00,Yes
22240,,0,linewalker90,937,2018-02-19 00:00:00,Yes
22239,,0,linewalker90,252,2018-02-19 00:00:00,Yes
17666,,0,Casperr,347,2016-01-01 00:00:00,Yes
12235,,0,Lurker,528,2015-02-04 00:00:00,Yes
12236,,0,Lurker,500,2015-02-04 00:00:00,Yes
12234,,0,Lurker,526,2015-02-04 00:00:00,Yes
12233,,0,Lurker,432,2015-02-04 00:00:00,Yes
12232,,0,Lurker,481,2015-02-04 00:00:00,Yes
10636,,0,Lurker,333,2014-12-06 00:00:00,Yes
10635,,0,Lurker,229,2014-12-06 00:00:00,Yes
10634,,0,Lurker,246,2014-12-06 00:00:00,Yes
10141,,0,Sisee,907,2014-11-15 00:00:00,Yes
7192,,0,Lurker,263,2014-07-19 00:00:00,Yes
