CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5601,0,0,musupalace,216,2013-08-31 00:00:00,Yes
5576,0,0,spaduzano,298,2013-08-27 00:00:00,Yes
25873,,0,Logan1109,663,2022-11-01 00:00:00,Yes
24454,,0,SupershalloBoy,759,2021-02-11 00:00:00,Yes
11949,,0,alice989,116,2015-01-25 00:00:00,Yes
11830,,0,MT2,893,2015-01-24 00:00:00,Yes
11302,,0,sirlindqvist,880,2015-01-06 00:00:00,Yes
10433,,0,pablim54,255,2014-11-25 00:00:00,Yes
9904,,0,Sisee,941,2014-11-10 00:00:00,Yes
6952,,1,Endrew,509,2014-07-07 00:00:00,Yes
