CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
334,2,1,TraJiK,590,2011-02-21 00:00:00,Yes
20878,,0,datterrible,432,2017-02-28 00:00:00,Yes
18690,,1,Joseadilson,590,2016-02-07 00:00:00,Yes
14145,,0,theSly,1172,2015-06-18 00:00:00,Yes
12529,,0,RianLivre2099,297,2015-02-22 00:00:00,Yes
11864,,0,alice989,139,2015-01-24 00:00:00,Yes
11215,,0,QuattroGam3r,209,2015-01-04 00:00:00,Yes
8532,,0,Lurker,622,2014-09-18 00:00:00,Yes
8533,,0,Lurker,558,2014-09-18 00:00:00,Yes
8534,,0,Lurker,594,2014-09-18 00:00:00,Yes
