CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
285,5,1,JPizzle,648,2011-02-21 00:00:00,Yes
28012,,0,xHAXIMILLIONxx,1159,2024-12-01 00:00:00,Yes
28002,,1,xHAXIMILLIONxx,896,2024-11-30 00:00:00,Yes
27928,,1,IChoseRapture95,582,2024-10-20 00:00:00,Yes
18954,,0,Lurker,707,2016-03-11 00:00:00,Yes
18584,,1,j4g018,643,2016-01-30 00:00:00,Yes
17733,,0,kulurak,1209,2016-01-01 00:00:00,Yes
14009,,0,kulurak,1247,2015-05-31 00:00:00,Yes
13335,,0,RianLivre2099,318,2015-04-25 00:00:00,Yes
11793,,0,alice989,147,2015-01-24 00:00:00,Yes
10998,,0,pesxdz,1018,2014-12-24 00:00:00,Yes
9842,,0,Sisee,1041,2014-11-08 00:00:00,Yes
8787,,0,Lurker,484,2014-09-20 00:00:00,Yes
