CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
171,5,1,TraJiK,609,2011-02-20 00:00:00,Yes
5827,0,0,RobertBolvari,299,2013-10-07 00:00:00,Yes
5547,0,1,alex1501,607,2013-08-22 00:00:00,Yes
24680,,1,MushroomKnight,674,2021-05-29 00:00:00,Yes
20389,,0,alex1501,651,2016-11-25 00:00:00,Yes
19617,,0,Alisa,1095,2016-08-05 00:00:00,Yes
18720,,1,Joseadilson,271,2016-02-07 00:00:00,Yes
12934,,0,RianLivre2099,298,2015-03-21 00:00:00,Yes
11798,,0,alice989,143,2015-01-24 00:00:00,Yes
8334,,0,Lurker,248,2014-09-13 00:00:00,Yes
8335,,0,Lurker,155,2014-09-13 00:00:00,Yes
8336,,0,Lurker,212,2014-09-13 00:00:00,Yes
8337,,0,Lurker,505,2014-09-13 00:00:00,Yes
8338,,0,Lurker,261,2014-09-13 00:00:00,Yes
8339,,0,Lurker,215,2014-09-13 00:00:00,Yes
