CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2933,5,No,weber,373,2012-01-25 00:00:00,Yes
3410,0,Yes,TraJiK,437,2012-05-30 00:00:00,Yes
24350,,No,Gus92,852,2021-01-03 00:00:00,Yes
24345,,Yes,Gus92,867,2021-01-02 00:00:00,Yes
24344,,No,Gus92,867,2021-01-02 00:00:00,Yes
24347,,No,Gus92,852,2021-01-02 00:00:00,Yes
23405,,No,Danhanado,164,2019-04-01 00:00:00,Yes
18168,,No,Casperr,372,2016-01-03 00:00:00,Yes
13518,,No,Sisee,976,2015-05-06 00:00:00,Yes
11919,,No,alice989,71,2015-01-24 00:00:00,Yes
11410,,No,QuattroGam3r,570,2015-01-11 00:00:00,Yes
