CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
23102,,0,joeblack,313,2018-11-03 00:00:00,Yes
22365,,1,x-zero,1261,2018-03-16 00:00:00,Yes
22364,,1,x-zero,1261,2018-03-16 00:00:00,Yes
22009,,0,Chimboquinha,1269,2018-01-04 00:00:00,Yes
21989,,0,branti1,941,2017-12-27 00:00:00,Yes
21979,,0,lollo7878,1085,2017-12-23 00:00:00,Yes
21958,,1,Marketplace,1054,2017-12-17 00:00:00,Yes
21952,,1,Joseph199512,994,2017-12-13 00:00:00,Yes
21942,,0,jacksonjao1,744,2017-12-04 00:00:00,Yes
21928,,0,viktor.matei,1109,2017-11-21 00:00:00,Yes
21911,,0,sparklebaobao,315,2017-11-17 00:00:00,Yes
21905,,0,rsysoev,841,2017-11-14 00:00:00,Yes
21843,,0,FerxD93,242,2017-11-09 00:00:00,Yes
21842,,0,the_maskju,1101,2017-11-08 00:00:00,Yes
21832,,1,Raespe,940,2017-11-03 00:00:00,Yes
21829,,0,FerxD93,242,2017-11-02 00:00:00,Yes
21828,,0,DavoGameplays,885,2017-10-31 00:00:00,Yes
21809,,0,branti1,316,2017-10-28 00:00:00,Yes
