CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5064,5,Yes,Davide7x,411,2013-05-12 00:00:00,Yes
3176,4,No,alexnestian,199,2012-04-24 00:00:00,Yes
21869,,No,MoBy41,907,2017-11-12 00:00:00,Yes
21368,,No,tallaito,220,2017-08-04 00:00:00,Yes
21175,,No,gustavoaaps,376,2017-05-30 00:00:00,Yes
19823,,No,smokemonster,983,2016-09-23 00:00:00,Yes
19784,,No,kepaic,355,2016-09-20 00:00:00,Yes
17903,,No,Casperr,316,2016-01-02 00:00:00,Yes
12615,,No,mostwantedzetaRK,929,2015-02-27 00:00:00,Yes
12570,,No,mostwantedzetaRK,758,2015-02-24 00:00:00,Yes
12470,,No,Lurker,397,2015-02-15 00:00:00,Yes
12471,,No,Lurker,460,2015-02-15 00:00:00,Yes
12472,,No,Lurker,478,2015-02-15 00:00:00,Yes
12473,,No,Lurker,546,2015-02-15 00:00:00,Yes
10519,,No,Goderk,368,2014-11-30 00:00:00,Yes
10395,,No,Sisee,788,2014-11-23 00:00:00,Yes
9404,,No,FdnSL,399,2014-10-19 00:00:00,Yes
9199,,No,FdnSL,398,2014-10-06 00:00:00,Yes
7361,,No,Lurker,309,2014-07-30 00:00:00,Yes
