CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
3106,5,1,kev82,238,2012-04-01 00:00:00,Yes
3067,5,0,fibko,538,2012-03-25 00:00:00,Yes
3049,5,0,algaf,395,2012-03-24 00:00:00,Yes
5832,0,0,marcos,246,2013-10-07 00:00:00,Yes
26990,,0,GermanTron,839,2023-12-04 00:00:00,Yes
23175,,0,angel2003,528,2018-12-18 00:00:00,Yes
22552,,0,HatefulGrinder,1063,2018-05-19 00:00:00,Yes
15384,,0,PIETKApl,540,2015-11-05 00:00:00,Yes
15385,,0,PIETKApl,540,2015-11-05 00:00:00,Yes
13592,,0,RianLivre2099,260,2015-05-10 00:00:00,Yes
11841,,0,alice989,117,2015-01-24 00:00:00,Yes
11210,,0,QuattroGam3r,186,2015-01-04 00:00:00,Yes
10958,,0,tallaito,777,2014-12-21 00:00:00,Yes
9860,,0,gorrolana73,298,2014-11-09 00:00:00,Yes
7515,,0,caco81,685,2014-08-03 00:00:00,Yes
