CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4131,5,0,Speed_ZGZ,495,2012-11-02 00:00:00,Yes
1416,4,0,Razkar,175,2011-03-20 00:00:00,Yes
56,0,1,MaesterRowen,572,2011-02-19 00:00:00,Yes
27366,,1,ShyloNura,900,2024-02-09 00:00:00,Yes
26380,,0,eusi,969,2023-04-20 00:00:00,Yes
24246,,0,SupershalloBoy,604,2020-10-25 00:00:00,Yes
20912,,0,Roberto3,253,2017-03-15 00:00:00,Yes
20913,,0,Roberto3,242,2017-03-15 00:00:00,Yes
19116,,0,Ensladark,280,2016-04-16 00:00:00,Yes
10989,,0,Roberto3,258,2014-12-22 00:00:00,Yes
9767,,0,Sisee,807,2014-11-07 00:00:00,Yes
9209,,0,cristianlp,280,2014-10-07 00:00:00,Yes
