CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
3415,5,Yes,TraJiK,377,2012-05-30 00:00:00,Yes
27591,,No,wilfredlink432,526,2024-07-03 00:00:00,Yes
27563,,No,XBOXgame5ya,1113,2024-06-03 00:00:00,Yes
27125,,No,GermanTron,652,2023-12-06 00:00:00,Yes
19231,,No,smokemonster,832,2016-05-04 00:00:00,Yes
19225,,No,smokemonster,815,2016-05-02 00:00:00,Yes
19142,,No,smokemonster,831,2016-04-19 00:00:00,Yes
18230,,No,Casperr,388,2016-01-03 00:00:00,Yes
14708,,No,Wolf Brigade 47,220,2015-09-03 00:00:00,Yes
14554,,No,retrogamer343,585,2015-08-11 00:00:00,Yes
14414,,Yes,Camilleons,181,2015-07-17 00:00:00,Yes
13374,,No,Nonterrorist,662,2015-04-27 00:00:00,Yes
12072,,No,jefferere,308,2015-01-28 00:00:00,Yes
10111,,No,Goderk,479,2014-11-14 00:00:00,Yes
