CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4071,5,Yes,nicob982,144,2012-10-29 00:00:00,Yes
1566,5,Yes,TraJiK,380,2011-03-24 00:00:00,Yes
25332,,No,SupershalloBoy,157,2022-04-10 00:00:00,Yes
25053,,No,SupershalloBoy,575,2021-10-06 00:00:00,Yes
17778,,No,Casperr,344,2016-01-01 00:00:00,Yes
13288,,No,sztikk,1022,2015-04-21 00:00:00,Yes
12387,,No,Lurker,148,2015-02-12 00:00:00,Yes
11893,,No,alice989,169,2015-01-24 00:00:00,Yes
10169,,No,Sisee,915,2014-11-16 00:00:00,Yes
9743,,No,QuattroGam3r,470,2014-11-07 00:00:00,Yes
7286,,No,Lurker,257,2014-07-25 00:00:00,Yes
