CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4465,5,0,GravityDead,184,2012-12-25 00:00:00,Yes
2662,4,1,GRubber,488,2011-11-02 00:00:00,Yes
4419,0,1,CzarAlexei,276,2012-12-09 00:00:00,Yes
27907,,1,IChoseRapture95,439,2024-10-20 00:00:00,Yes
25692,,0,Logan1109,525,2022-09-15 00:00:00,Yes
23334,,1,gatoflesh,284,2019-02-19 00:00:00,Yes
23214,,0,Elian2,875,2019-01-02 00:00:00,Yes
23215,,0,Elian2,927,2019-01-02 00:00:00,Yes
20511,,1,Marketplace,1155,2016-12-11 00:00:00,Yes
18934,,1,Joseadilson,1155,2016-03-10 00:00:00,Yes
18797,,0,marcos,466,2016-02-07 00:00:00,Yes
14033,,0,RianLivre2099,274,2015-06-01 00:00:00,Yes
11055,,0,RedStar91,249,2014-12-28 00:00:00,Yes
10890,,0,tallaito,890,2014-12-19 00:00:00,Yes
9856,,0,gorrolana73,274,2014-11-09 00:00:00,Yes
9489,,0,kulurak,905,2014-10-26 00:00:00,Yes
