CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4230,5,1,Aut0botKilla,1045,2012-11-12 00:00:00,Yes
4129,4,0,ptibob76,192,2012-11-01 00:00:00,Yes
4083,4,0,Danzel87,488,2012-10-29 00:00:00,Yes
4024,2,0,enzoerbisti,413,2012-10-26 00:00:00,Yes
4023,2,0,Alcatraz3222,429,2012-10-26 00:00:00,Yes
27896,,1,IChoseRapture95,509,2024-10-20 00:00:00,Yes
26670,,0, 313,408,2023-08-09 00:00:00,Yes
25619,,0,Logan1109,613,2022-09-15 00:00:00,Yes
23570,,1,MushroomKnight,653,2019-07-31 00:00:00,Yes
21228,,0,tallaito,657,2017-06-09 00:00:00,Yes
20492,,1,Marketplace,292,2016-12-11 00:00:00,Yes
18371,,0,Casperr,337,2016-01-08 00:00:00,Yes
15104,,0,MushroomKnight,921,2015-10-20 00:00:00,Yes
13810,,0,Lurker,224,2015-05-17 00:00:00,Yes
13809,,0,Lurker,196,2015-05-17 00:00:00,Yes
12637,,0,pesxdz,1047,2015-02-27 00:00:00,Yes
12516,,0,kulurak,1143,2015-02-20 00:00:00,Yes
11638,,0,alice989,117,2015-01-23 00:00:00,Yes
11486,,1,PorterRico,1045,2015-01-15 00:00:00,Yes
11253,,0,denigaj,1045,2015-01-05 00:00:00,Yes
10254,,0,amer4747,1289,2014-11-18 00:00:00,Yes
10213,,1,MushroomKnight,528,2014-11-17 00:00:00,Yes
9690,,0,QuattroGam3r,569,2014-11-06 00:00:00,Yes
8184,,0,Lurker,576,2014-09-10 00:00:00,Yes
8185,,0,Lurker,528,2014-09-10 00:00:00,Yes
8190,,0,Lurker,472,2014-09-10 00:00:00,Yes
8189,,0,Lurker,578,2014-09-10 00:00:00,Yes
8188,,0,Lurker,447,2014-09-10 00:00:00,Yes
8187,,0,Lurker,330,2014-09-10 00:00:00,Yes
8186,,0,Lurker,520,2014-09-10 00:00:00,Yes
