CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6482,5,Yes,alexbarbo,280,2014-03-16 00:00:00,Yes
6479,5,No,Gromber,122,2014-03-15 00:00:00,Yes
22357,,No,anowar11,853,2018-03-12 00:00:00,Yes
21194,,No,Luy09,469,2017-06-07 00:00:00,Yes
20670,,No,OldBoy94,409,2017-01-05 00:00:00,Yes
20659,,No,OldBoy94,395,2017-01-02 00:00:00,Yes
14874,,No,nous,391,2015-09-18 00:00:00,Yes
14858,,No,SraBigBoss,864,2015-09-14 00:00:00,Yes
14660,,No,Lionhart0,787,2015-08-30 00:00:00,Yes
11816,,No,alice989,110,2015-01-24 00:00:00,Yes
10622,,No,FdnSL,501,2014-12-05 00:00:00,Yes
9214,,Yes,roberto360,413,2014-10-07 00:00:00,Yes
8873,,No,Lurker,473,2014-09-23 00:00:00,Yes
8874,,No,Lurker,554,2014-09-23 00:00:00,Yes
