CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
27150,,0,suegrini,1014,2023-12-13 00:00:00,Yes
26600,,1,franxx,991,2023-07-24 00:00:00,Yes
26040,,0,Logan1109,606,2022-12-30 00:00:00,Yes
25919,,0,ppilfy,1133,2022-11-07 00:00:00,Yes
24729,,0,Ruslan-dx55,858,2021-06-06 00:00:00,Yes
24498,,0,Kidala,1011,2021-03-14 00:00:00,Yes
23953,,1,Daniel YsnozY,982,2020-05-24 00:00:00,Yes
18968,,0,Lurker,178,2016-03-11 00:00:00,Yes
17806,,0,Casperr,366,2016-01-01 00:00:00,Yes
14479,,0,retrogamer343,646,2015-08-03 00:00:00,Yes
12840,,0,projektHAZE,1093,2015-03-12 00:00:00,Yes
12815,,0,Hypnotoad,1585,2015-03-10 00:00:00,Yes
12819,,0,Lurker,178,2015-03-10 00:00:00,Yes
