CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4180,5,1,mabik,591,2012-11-08 00:00:00,Yes
3018,4,0,mariolino,507,2012-03-09 00:00:00,Yes
27756,,0,Nippur,334,2024-09-10 00:00:00,Yes
26280,,0,anishc24,872,2023-02-06 00:00:00,Yes
25502,,0,Zaikrot,1042,2022-07-02 00:00:00,Yes
22543,,0,HatefulGrinder,1374,2018-05-19 00:00:00,Yes
15371,,0,RGSPro,864,2015-11-05 00:00:00,Yes
15357,,0,funkuzo,601,2015-11-04 00:00:00,Yes
14051,,0,RianLivre2099,326,2015-06-05 00:00:00,Yes
11343,,0,bienv1,260,2015-01-07 00:00:00,Yes
10575,,0,retrogamer343,602,2014-12-02 00:00:00,Yes
