CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
22373,,Yes,x-zero,1261,2018-03-16 00:00:00,Yes
21961,,Yes,Marketplace,1346,2017-12-17 00:00:00,Yes
21934,,Yes,x-zero,1261,2017-11-25 00:00:00,Yes
18883,,Yes,Joseadilson,1346,2016-02-20 00:00:00,Yes
18764,,Yes,Joseadilson,1251,2016-02-07 00:00:00,Yes
15230,,Yes,Patrick1287,328,2015-10-29 00:00:00,Yes
11989,,No,Lurker,663,2015-01-25 00:00:00,Yes
9537,,No,kulurak,1088,2014-10-27 00:00:00,Yes
9529,,No,Lurker,378,2014-10-26 00:00:00,Yes
9475,,No,vikofarber,919,2014-10-24 00:00:00,Yes
9455,,No,orange1979,887,2014-10-22 00:00:00,Yes
