CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6300,5,1,MrFaust,321,2014-01-26 00:00:00,Yes
5333,5,0,Thiagothan,349,2013-06-23 00:00:00,Yes
5331,4,1,Dante4UP,300,2013-06-23 00:00:00,Yes
5327,1,0,italianjob,104,2013-06-22 00:00:00,Yes
25973,,0,Logan1109,607,2022-11-28 00:00:00,Yes
25414,,0,ValteMCPE1,1089,2022-05-26 00:00:00,Yes
25412,,0,ValteMCPE1,1089,2022-05-23 00:00:00,Yes
22487,,0,goldfishtiger,455,2018-05-07 00:00:00,Yes
22488,,0,goldfishtiger,379,2018-05-07 00:00:00,Yes
22489,,0,goldfishtiger,583,2018-05-07 00:00:00,Yes
22424,,0,goldfishtiger,324,2018-04-10 00:00:00,Yes
18881,,1,Joseadilson,321,2016-02-19 00:00:00,Yes
12534,,0,Destructo99,817,2015-02-22 00:00:00,Yes
10161,,0,gorrolana73,321,2014-11-16 00:00:00,Yes
10048,,0,Sisee,972,2014-11-13 00:00:00,Yes
