CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2195,0,Yes,dcdeadcell,168,2011-07-05 00:00:00,Yes
27850,,No,psboss,1094,2024-10-08 00:00:00,Yes
18908,,No,Alex17rus,1325,2016-02-28 00:00:00,Yes
12099,,No,Lurker,374,2015-01-28 00:00:00,Yes
12100,,No,Lurker,377,2015-01-28 00:00:00,Yes
12101,,No,Lurker,329,2015-01-28 00:00:00,Yes
12102,,No,Lurker,355,2015-01-28 00:00:00,Yes
12103,,No,Lurker,364,2015-01-28 00:00:00,Yes
12104,,No,Lurker,388,2015-01-28 00:00:00,Yes
9463,,No,Lurker,599,2014-10-23 00:00:00,Yes
9464,,No,Lurker,672,2014-10-23 00:00:00,Yes
7065,,No,Lurker,585,2014-07-14 00:00:00,Yes
