CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5298,5,Yes,mynameisRAIN,552,2013-06-15 00:00:00,Yes
4377,5,No,Speed_ZGZ,614,2012-12-03 00:00:00,Yes
2953,4,No,Yaz,289,2012-02-05 00:00:00,Yes
27922,,Yes,IChoseRapture95,522,2024-10-20 00:00:00,Yes
25902,,No,Logan1109,606,2022-11-02 00:00:00,Yes
25774,,No,Logan1109,630,2022-09-15 00:00:00,Yes
23925,,No,CabrAlex,253,2020-04-24 00:00:00,Yes
23154,,Yes,Xbox-360-rgh,552,2018-12-04 00:00:00,Yes
23153,,No,Xbox-360-rgh,552,2018-12-03 00:00:00,Yes
22905,,No,AM1,1220,2018-08-02 00:00:00,Yes
22891,,No,AM1,614,2018-08-02 00:00:00,Yes
21429,,No,jaramilloso1416,552,2017-09-08 00:00:00,Yes
21025,,No,EduardoUBZ,676,2017-05-01 00:00:00,Yes
20962,,Yes,irvgotti452,555,2017-04-11 00:00:00,Yes
19299,,No,Zarks,1220,2016-05-19 00:00:00,Yes
18956,,No,Lurker,630,2016-03-11 00:00:00,Yes
18955,,No,Lurker,640,2016-03-11 00:00:00,Yes
18854,,Yes,Joseadilson,1225,2016-02-11 00:00:00,Yes
18732,,Yes,Joseadilson,1225,2016-02-07 00:00:00,Yes
14861,,No,MyLocalHost,675,2015-09-14 00:00:00,Yes
9748,,No,QuattroGam3r,251,2014-11-07 00:00:00,Yes
9163,,No,FdnSL,582,2014-10-06 00:00:00,Yes
9126,,No,Rebellion,577,2014-10-05 00:00:00,Yes
9091,,No,FdnSL,298,2014-10-04 00:00:00,Yes
8326,,No,Lurker,589,2014-09-13 00:00:00,Yes
8327,,No,Lurker,350,2014-09-13 00:00:00,Yes
8329,,No,Lurker,204,2014-09-13 00:00:00,Yes
8328,,No,Lurker,445,2014-09-13 00:00:00,Yes
