CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6524,0,No,JMCDS45,663,2014-04-01 00:00:00,Yes
3996,0,Yes,JAAI06,294,2012-10-24 00:00:00,Yes
24085,,Yes,IronKiller,694,2020-08-01 00:00:00,Yes
11619,,No,Lurker,221,2015-01-23 00:00:00,Yes
11620,,No,Lurker,181,2015-01-23 00:00:00,Yes
11621,,No,Lurker,183,2015-01-23 00:00:00,Yes
11622,,No,Lurker,247,2015-01-23 00:00:00,Yes
11623,,No,Lurker,220,2015-01-23 00:00:00,Yes
11624,,No,Lurker,217,2015-01-23 00:00:00,Yes
11667,,No,alice989,151,2015-01-23 00:00:00,Yes
7843,,No,Lurker,526,2014-08-30 00:00:00,Yes
7844,,No,Lurker,587,2014-08-30 00:00:00,Yes
7845,,No,Lurker,711,2014-08-30 00:00:00,Yes
7846,,No,Lurker,681,2014-08-30 00:00:00,Yes
