CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4989,4,0,SYTY,1585,2013-04-21 00:00:00,Yes
26599,,1,franxx,991,2023-07-24 00:00:00,Yes
26082,,0,NKane,489,2023-01-03 00:00:00,Yes
26041,,0,Logan1109,606,2022-12-30 00:00:00,Yes
25918,,0,ppilfy,1133,2022-11-07 00:00:00,Yes
24730,,0,Ruslan-dx55,858,2021-06-06 00:00:00,Yes
24497,,0,Kidala,1011,2021-03-14 00:00:00,Yes
23954,,1,Daniel YsnozY,982,2020-05-24 00:00:00,Yes
23462,,1,Daniel YsnozY,982,2019-05-17 00:00:00,Yes
21307,,0,CLAUDIANO_GHOST_2015,993,2017-07-07 00:00:00,Yes
18969,,0,Lurker,178,2016-03-11 00:00:00,Yes
17962,,0,Casperr,366,2016-01-02 00:00:00,Yes
14518,,0,retrogamer343,666,2015-08-08 00:00:00,Yes
12444,,0,bh72,947,2015-02-14 00:00:00,Yes
12414,,0,Lurker,178,2015-02-13 00:00:00,Yes
11897,,0,alice989,150,2015-01-24 00:00:00,Yes
9730,,0,QuattroGam3r,795,2014-11-06 00:00:00,Yes
9398,,0,FdnSL,508,2014-10-19 00:00:00,Yes
8350,,0,Lurker,201,2014-09-13 00:00:00,Yes
