CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
3802,4,0,fuzzak,1052,2012-09-22 00:00:00,Yes
5381,0,1,Davide7x,412,2013-06-30 00:00:00,Yes
26787,,0,Limask8,689,2023-10-17 00:00:00,Yes
26351,,0,LanceJtag,623,2023-04-08 00:00:00,Yes
26180,,0,Logan1109,489,2023-01-13 00:00:00,Yes
23238,,1,Agamaster,893,2019-01-10 00:00:00,Yes
23108,,0,Elian2,985,2018-11-03 00:00:00,Yes
23068,,0,hector1981,1035,2018-10-14 00:00:00,Yes
18901,,0,CLAUDIANO_GHOST_2015,230,2016-02-25 00:00:00,Yes
17714,,0,Casperr,340,2016-01-01 00:00:00,Yes
13631,,0,dewomper,459,2015-05-12 00:00:00,Yes
13285,,0,Alex17rus,1013,2015-04-21 00:00:00,Yes
9751,,0,arthuralex,1583,2014-11-07 00:00:00,Yes
