CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
400,0,Yes,TraJiK,652,2011-02-21 00:00:00,Yes
26218,,Yes,mr_drew,232,2023-02-01 00:00:00,Yes
23783,,No,matt9,888,2019-12-23 00:00:00,Yes
20967,,Yes,muv1k,303,2017-04-15 00:00:00,Yes
20966,,No,muv1k,303,2017-04-15 00:00:00,Yes
8587,,No,Lurker,628,2014-09-19 00:00:00,Yes
8588,,No,Lurker,513,2014-09-19 00:00:00,Yes
8589,,No,Lurker,624,2014-09-19 00:00:00,Yes
8590,,No,Lurker,622,2014-09-19 00:00:00,Yes
8591,,No,Lurker,505,2014-09-19 00:00:00,Yes
