CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6384,4,0,ztevn,215,2014-02-25 00:00:00,Yes
6398,0,0,alex1501,586,2014-02-28 00:00:00,Yes
6370,0,1,emanuel_df,192,2014-02-23 00:00:00,Yes
6372,0,0,dragonblade,1196,2014-02-23 00:00:00,Yes
27571,,1,SamLeo,1326,2024-06-10 00:00:00,Yes
26898,,0,GermanTron,829,2023-12-04 00:00:00,Yes
24149,,0,matt9,800,2020-08-26 00:00:00,Yes
22307,,0,Destructo99,1004,2018-02-20 00:00:00,Yes
14025,,0,sha8lin,297,2015-06-01 00:00:00,Yes
13881,,0,Sisee,1074,2015-05-22 00:00:00,Yes
13024,,0,Rockerodivas,715,2015-04-01 00:00:00,Yes
12278,,0,DistantJakson,995,2015-02-06 00:00:00,Yes
11696,,0,alice989,1067,2015-01-24 00:00:00,Yes
9776,,0,Sisee,1075,2014-11-07 00:00:00,Yes
9784,,0,Sisee,1067,2014-11-07 00:00:00,Yes
9711,,0,QuattroGam3r,199,2014-11-06 00:00:00,Yes
8229,,0,Lurker,491,2014-09-12 00:00:00,Yes
8230,,0,Lurker,552,2014-09-12 00:00:00,Yes
7005,,1,alex1501,763,2014-07-09 00:00:00,Yes
