CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4171,5,0,mabik,198,2012-11-08 00:00:00,Yes
4052,5,1,nicob982,139,2012-10-29 00:00:00,Yes
3893,5,1,birdman86,741,2012-10-07 00:00:00,Yes
2594,3,0,hawkreaper,435,2011-10-18 00:00:00,Yes
27621,,0,Aarxn,155,2024-07-28 00:00:00,Yes
25884,,0,Logan1109,726,2022-11-01 00:00:00,Yes
25546,,0,RefosLastKnight,557,2022-07-22 00:00:00,Yes
25394,,0,RefosLastKnight,221,2022-05-09 00:00:00,Yes
23714,,0,matt9,834,2019-11-19 00:00:00,Yes
23104,,0,Elian2,1154,2018-11-03 00:00:00,Yes
23105,,0,Elian2,1169,2018-11-03 00:00:00,Yes
21773,,0,MoBy41,832,2017-10-10 00:00:00,Yes
21188,,0,Luy09,450,2017-06-07 00:00:00,Yes
19669,,0,Craaank,899,2016-08-18 00:00:00,Yes
19027,,1,Sakitoshi,1177,2016-03-24 00:00:00,Yes
18337,,0,nous,328,2016-01-04 00:00:00,Yes
15186,,0,RGSPro,835,2015-10-26 00:00:00,Yes
14906,,0,Roberto3,254,2015-09-19 00:00:00,Yes
14069,,0,Alex17rus,878,2015-06-09 00:00:00,Yes
13664,,0,RianLivre2099,283,2015-05-14 00:00:00,Yes
13597,,0,gorrolana73,235,2015-05-10 00:00:00,Yes
12021,,0,ultramarina,899,2015-01-26 00:00:00,Yes
11705,,0,alice989,114,2015-01-24 00:00:00,Yes
10990,,0,Roberto3,265,2014-12-22 00:00:00,Yes
10476,,0,Kehuty,881,2014-11-28 00:00:00,Yes
