CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5073,5,1,sofien,406,2013-05-13 00:00:00,Yes
2657,4,0,Blackuser,375,2011-11-01 00:00:00,Yes
2496,3,0,logo000,458,2011-08-21 00:00:00,Yes
6591,0,1,woodsonjt,101,2014-04-19 00:00:00,Yes
26422,,0,GermanTron,342,2023-05-06 00:00:00,Yes
25221,,0,Metro City,971,2022-01-16 00:00:00,Yes
25220,,0,Metro City,768,2022-01-16 00:00:00,Yes
24637,,0,Madnik,450,2021-05-26 00:00:00,Yes
24638,,0,Madnik,455,2021-05-26 00:00:00,Yes
24639,,0,Madnik,465,2021-05-26 00:00:00,Yes
24329,,0,matt9,819,2020-12-16 00:00:00,Yes
23001,,0,matt9,65,2018-09-27 00:00:00,Yes
20936,,0,Falox,706,2017-04-02 00:00:00,Yes
20845,,0,Ghetto_Blaster,875,2017-02-09 00:00:00,Yes
20592,,0,seymorebutts,542,2016-12-22 00:00:00,Yes
19695,,0,FaZe Elvish,406,2016-08-26 00:00:00,Yes
14156,,0,Just Classical,161,2015-06-21 00:00:00,Yes
13504,,0,sztikk,283,2015-05-05 00:00:00,Yes
13481,,0,Nellie Wilson,255,2015-05-03 00:00:00,Yes
12138,,0,QuattroGam3r,451,2015-01-29 00:00:00,Yes
11940,,0,alice989,199,2015-01-24 00:00:00,Yes
11593,,0,dotto66guru,336,2015-01-21 00:00:00,Yes
11059,,0,Lurker,372,2014-12-29 00:00:00,Yes
10921,,0,tallaito,881,2014-12-20 00:00:00,Yes
7895,,0,djcosmic310,706,2014-09-05 00:00:00,Yes
