CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
24305,,1,Arthur ma boah,844,2020-11-29 00:00:00,Yes
24306,,0,Arthur ma boah,844,2020-11-29 00:00:00,Yes
23260,,1,Agamaster,812,2019-01-10 00:00:00,Yes
22231,,0,linewalker90,912,2018-02-19 00:00:00,Yes
21195,,0,Luy09,498,2017-06-07 00:00:00,Yes
18982,,0,Lurker,214,2016-03-11 00:00:00,Yes
15550,,0,GSV,993,2015-11-18 00:00:00,Yes
14964,,0,szymonk19,698,2015-09-29 00:00:00,Yes
14961,,0,szymonk19,692,2015-09-28 00:00:00,Yes
14923,,0,KroZ2,1125,2015-09-22 00:00:00,Yes
14880,,0,Roberto3,255,2015-09-19 00:00:00,Yes
14868,,0,nous,432,2015-09-16 00:00:00,Yes
14720,,0,STS7712,163,2015-09-04 00:00:00,Yes
14719,,0,STS7712,88,2015-09-04 00:00:00,Yes
14674,,0,MushroomKnight,583,2015-08-31 00:00:00,Yes
14661,,0,Lionhart0,838,2015-08-30 00:00:00,Yes
14664,,0,GSV,978,2015-08-30 00:00:00,Yes
14663,,0,dewomper,966,2015-08-30 00:00:00,Yes
14657,,0,GSV,853,2015-08-29 00:00:00,Yes
14655,,0,TheWbarletta,795,2015-08-29 00:00:00,Yes
14654,,0,Pictom68,682,2015-08-29 00:00:00,Yes
14653,,0,Lionhart0,834,2015-08-29 00:00:00,Yes
14651,,1,[kor]-zard-,915,2015-08-28 00:00:00,Yes
14645,,1,SNAKE_8,891,2015-08-28 00:00:00,Yes
14637,,0,TheWbarletta,795,2015-08-28 00:00:00,Yes
14633,,0,kelhey,838,2015-08-28 00:00:00,Yes
14640,,0,Lionhart0,834,2015-08-28 00:00:00,Yes
14641,,0,zero1362,85,2015-08-28 00:00:00,Yes
14642,,0,zero1362,218,2015-08-28 00:00:00,Yes
14643,,0,zero1362,601,2015-08-28 00:00:00,Yes
14647,,0,TheWbarletta,795,2015-08-28 00:00:00,Yes
14648,,0,Lionhart0,834,2015-08-28 00:00:00,Yes
14649,,0,[kor]-zard-,915,2015-08-28 00:00:00,Yes
14650,,0,[kor]-zard-,915,2015-08-28 00:00:00,Yes
14652,,0,pesxdz,875,2015-08-28 00:00:00,Yes
