CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4628,4,No,_n3o_,540,2013-02-08 00:00:00,Yes
4627,3,No,_n3o_,507,2013-02-08 00:00:00,Yes
4431,3,No,SuperPardal,271,2012-12-11 00:00:00,Yes
2717,3,Yes,GRubber,448,2011-11-23 00:00:00,Yes
4232,0,No,mabik,282,2012-11-13 00:00:00,Yes
4233,0,No,mabik,311,2012-11-13 00:00:00,Yes
26313,,No,SwedishGojira,670,2023-02-27 00:00:00,Yes
24836,,No,Zaikrot,687,2021-06-13 00:00:00,Yes
24463,,No,Sisee,1005,2021-02-23 00:00:00,Yes
24082,,No,cofla1992,751,2020-07-31 00:00:00,Yes
22587,,No,Junkid22,115,2018-05-21 00:00:00,Yes
22586,,No,Junkid22,115,2018-05-21 00:00:00,Yes
22329,,No,linewalker90,303,2018-02-20 00:00:00,Yes
21021,,No,cmac-86,641,2017-04-28 00:00:00,Yes
19723,,No,lord_Evil,303,2016-08-31 00:00:00,Yes
13318,,No,Lionhart0,716,2015-04-23 00:00:00,Yes
12841,,No,RianLivre2099,269,2015-03-12 00:00:00,Yes
12038,,No,decxx1,292,2015-01-28 00:00:00,Yes
12039,,No,decxx1,277,2015-01-28 00:00:00,Yes
12040,,No,decxx1,226,2015-01-28 00:00:00,Yes
12041,,No,decxx1,241,2015-01-28 00:00:00,Yes
12042,,No,decxx1,277,2015-01-28 00:00:00,Yes
12043,,No,decxx1,241,2015-01-28 00:00:00,Yes
12044,,No,decxx1,226,2015-01-28 00:00:00,Yes
12045,,No,decxx1,292,2015-01-28 00:00:00,Yes
9584,,No,Lurker,241,2014-10-31 00:00:00,Yes
8883,,No,Lurker,518,2014-09-23 00:00:00,Yes
8885,,No,Lurker,489,2014-09-23 00:00:00,Yes
8884,,No,Lurker,636,2014-09-23 00:00:00,Yes
8882,,No,Lurker,696,2014-09-23 00:00:00,Yes
6945,,No,s2696,248,2014-07-07 00:00:00,Yes
