CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
6658,0,0,lkymos,210,2014-05-08 00:00:00,Yes
6646,0,0,mrredninjax,485,2014-05-05 00:00:00,Yes
6647,0,0,bakaa171,424,2014-05-05 00:00:00,Yes
22344,,1,Ragein,278,2018-02-25 00:00:00,Yes
18396,,0,Casperr,338,2016-01-08 00:00:00,Yes
11683,,0,alice989,158,2015-01-24 00:00:00,Yes
9768,,0,Sisee,858,2014-11-07 00:00:00,Yes
8074,,0,Lurker,617,2014-09-08 00:00:00,Yes
8075,,0,Lurker,635,2014-09-08 00:00:00,Yes
8076,,0,Lurker,551,2014-09-08 00:00:00,Yes
