CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
27783,,0,Nippur,236,2024-09-11 00:00:00,Yes
26786,,0,Limask8,863,2023-10-17 00:00:00,Yes
26042,,0,Logan1109,522,2022-12-30 00:00:00,Yes
25842,,0,Glopente,216,2022-10-29 00:00:00,Yes
25042,,0,enrikoliveira,414,2021-09-23 00:00:00,Yes
23506,,0,dixolgamer,1051,2019-06-18 00:00:00,Yes
23243,,1,Agamaster,1051,2019-01-10 00:00:00,Yes
22390,,0,Yors,1052,2018-03-24 00:00:00,Yes
21191,,0,Luy09,957,2017-06-07 00:00:00,Yes
20898,,1,Ataman8,542,2017-03-12 00:00:00,Yes
15340,,0,funkuzo,542,2015-11-04 00:00:00,Yes
14468,,0,sztikk,745,2015-07-30 00:00:00,Yes
11764,,0,alice989,109,2015-01-24 00:00:00,Yes
9256,,0,WeeTR ,1207,2014-10-11 00:00:00,Yes
9162,,0,FdnSL,563,2014-10-06 00:00:00,Yes
9106,,0,FdnSL,232,2014-10-04 00:00:00,Yes
9012,,0,tuenny12,1479,2014-09-28 00:00:00,Yes
